Fulde navn;Parti;
Aki-Matilda Høegh-Dam;Siumut
Stén Knuth;Venstre
Stinus Lindgreen;Radikale Venstre
Susanne Zimmer;Alternativet
Søren Espersen;Dansk Folkeparti
Søren Søndergaard;Enhedslisten
Søren Egge Rasmussen;Enhedslisten
Søren Pape Poulsen;Det Konservative Folkeparti
Tanja Larsson;Socialdemokratiet
Theresa Berg Andersen;Socialistisk Folkeparti
Thomas Danielsen;Venstre
Thomas Jensen;Socialdemokratiet
Tommy Ahlers;Venstre
Torsten Gejl;Alternativet
Torsten Schack Pedersen;Venstre
Trine Bramsen;Socialdemokratiet
Trine Torp;Socialistisk Folkeparti
Troels Ravn;Socialdemokratiet
Troels Lund Poulsen;Venstre
Uffe Elbæk;Alternativet
Ulla Tørnæs;Venstre
Victoria Velasquez;Enhedslisten
Zenia Stampe;Radikale Venstre
Aaja Chemnitz Larsen;Inuit Ataqatigiit
